"transactTime","symbol","execType","side","lastQty","lastPx","execCost","commission","execComm","ordType","orderQty","leavesQty","price","text","orderID"
"2018/9/19 下午10:35:18","XBTU18","Trade","Buy","1","6361","-15721","0.000675","10","Limit","1","0","6361","Spam
Submitted via API.","947df8a5-31c8-11cb-cd17-98370cb5e5bf"
"2018/9/19 下午10:33:50","XBTU18","Trade","Buy","1","6374","-15689","0.000675","10","Limit","1","0","6374","Spam
Submitted via API.","abf2f5f2-e8b4-2ce6-263b-19b190111835"
"2018/9/19 下午10:33:50","XBTU18","Trade","Buy","1","6386","-15659","0.000675","10","Limit","1","0","6386","Spam
Submitted via API.","4285d9c1-0dcb-5ab5-a926-436f9582c8b8"
"2018/9/19 下午10:33:27","XBTU18","Trade","Sell","1","6399","15627","0.000675","10","Limit","1","0","6399","Spam
Submitted via API.","9b3622be-dc89-655b-bf4b-aeb78d0bec69"
"2018/9/19 下午10:33:10","XBTU18","Trade","Sell","1","6386","15659","0.000675","10","Limit","1","0","6386","Spam
Submitted via API.","200ee5bb-bd49-e561-f1bc-eb6090059c27"
"2018/9/19 下午10:32:35","XBTU18","Trade","Sell","1","6373","15691","0.000675","10","Limit","1","0","6373","Spam
Submitted via API.","c14489bc-1251-85d5-8254-e7cde40a31dc"
"2018/9/19 下午10:32:25","XBTU18","Trade","Sell","1","6360","15723","0.000675","10","Limit","1","0","6360","Spam
Submitted via API.","9f8eb022-a33b-846b-1c5c-b56c2181e3a2"
"2018/9/19 下午10:29:50","XBTU18","Trade","Sell","1","6347","15755","0.000675","10","Limit","1","0","6347","Spam
Submitted via API.","a6798e12-ab9a-e9b4-d938-084e4b4455e7"
"2018/9/19 下午10:29:50","XBTU18","Trade","Sell","1","6334","15788","0.000675","10","Limit","1","0","6334","Spam
Submitted via API.","dddcbbc2-219e-eb3d-f9ac-3c033e4f8a36"
"2018/9/19 下午10:00:18","XBTU18","Trade","Sell","1","6322","15818","0.000675","10","Limit","1","0","6322","Spam
Submitted via API.","11cad6a9-8d01-f292-9041-10c56ddd7426"
"2018/9/19 下午9:51:59","XBTU18","Trade","Buy","1","6308","-15853","0.000675","10","Limit","1","0","6308","Spam
Submitted via API.","90424186-6e54-eb0b-a888-1f5fb0bb707a"
"2018/9/19 下午9:26:25","XBTU18","Trade","Sell","1","6322","15818","0.000675","10","Limit","1","0","6322","Spam
Submitted via API.","9f26c0a2-6ba6-e125-0b4e-18752593369c"
"2018/9/19 下午9:14:51","XBTU18","Trade","Buy","1","6308","-15853","0.000675","10","Limit","1","0","6308","Spam
Submitted via API.","7bb18d91-6c4d-552e-7fea-f822f316dbf1"
"2018/9/19 下午9:02:39","XBTU18","Trade","Sell","1","6321","15820","0.000675","10","Limit","1","0","6321","Spam
Submitted via API.","2555f375-6fe3-1f29-1284-409017707241"
"2018/9/19 下午9:02:03","XBTU18","Trade","Sell","1","6320","15823","0.000675","10","Limit","1","0","6309","Spam
Submitted via API.","464cb681-1efd-88c8-5262-f308256bcacc"
"2018/9/19 下午9:01:47","XBTU18","Trade","Buy","1","6295","-15886","0.000675","10","Limit","1","0","6296","Spam
Submitted via API.","610d97ad-fdb4-b878-bcc0-646575d41d1a"
"2018/9/19 下午9:01:45","XBTU18","Trade","Buy","1","6295","-15886","0.000675","10","Limit","1","0","6308","Spam
Submitted via API.","c95513a6-17e6-b536-bf48-ec9de234a8a4"
"2018/9/19 下午9:01:25","XBTU18","Trade","Sell","1","6360","15723","0.000675","10","Limit","1","0","6360","Spam
Submitted via API.","1187f350-10f3-d3e8-187a-345c42faaa94"
"2018/9/19 下午9:01:25","XBTU18","Trade","Sell","1","6347","15755","0.000675","10","Limit","1","0","6347","Spam
Submitted via API.","a613a89e-9ca3-e9ff-25ce-10607fb6ecf6"
"2018/9/19 下午9:01:25","XBTU18","Trade","Sell","1","6334","15788","0.000675","10","Limit","1","0","6334","Spam
Submitted via API.","21bcf1e6-eefc-a2b7-0b52-b8f3e8ea0ede"
"2018/9/19 下午9:01:25","XBTU18","Trade","Buy","1","6283","-15916","0.000675","10","Limit","1","0","6283","Spam
Submitted via API.","2d6d09ba-e6a3-ec7e-dc39-bd37c4691e74"
"2018/9/19 下午9:01:25","XBTU18","Trade","Buy","1","6296","-15883","0.000675","10","Limit","1","0","6296","Spam
Submitted via API.","de1596f8-3394-c8a3-f147-4239048a76f8"
"2018/9/19 下午9:01:25","XBTU18","Trade","Buy","1","6308","-15853","0.000675","10","Limit","1","0","6308","Spam
Submitted via API.","ec3868f7-fb92-3c60-12a0-2cc4fe19556c"
"2018/9/19 下午8:41:50","XBTU18","Trade","Sell","1","6321","15820","0.000675","10","Limit","1","0","6321","Spam
Submitted via API.","0bff198a-dace-3a36-2c86-b12b902e309a"
"2018/9/19 下午8:10:37","XBTU18","Trade","Sell","1","6309","15850","0.000675","10","Limit","1","0","6309","Spam
Submitted via API.","15cd3a5b-a3f7-190f-432d-b774f4ba93d7"
"2018/9/19 下午8:01:52","XBTU18","Trade","Buy","1","6296","-15883","0.000675","10","Limit","1","0","6296","Spam
Submitted via API.","a8f94604-312c-bc41-e279-85b8c3eea1a3"
"2018/9/19 下午8:01:48","XBTU18","Trade","Buy","1","6309","-15850","0.000675","10","Limit","1","0","6309","Spam
Submitted via API.","387aaf3c-1696-cdd3-710c-505189f24ad1"
"2018/9/19 下午7:57:42","XBTU18","Trade","Buy","1","6321","-15820","0.000675","10","Limit","1","0","6321","Spam
Submitted via API.","e3de5e76-12da-4679-d74e-7b6015a9dc06"
"2018/9/19 下午7:53:22","XBTU18","Trade","Sell","1","6334","15788","0.000675","10","Limit","1","0","6334","Spam
Submitted via API.","4a40f132-d886-68a7-2845-644689b1737d"
"2018/9/19 下午7:52:50","XBTU18","Trade","Sell","1","6322","15818","0.000675","10","Limit","1","0","6322","Spam
Submitted via API.","ee4991af-a945-5bc5-1e0f-5c85820010e2"
"2018/9/19 下午7:50:14","XBTU18","Trade","Buy","1","6309","-15850","0.000675","10","Limit","1","0","6309","Spam
Submitted via API.","a5771ca1-7cc4-fa41-9c6f-6c0ab7be842b"
"2018/9/19 下午7:47:50","XBTU18","Trade","Buy","1","6322","-15818","0.000675","10","Limit","1","0","6322","Spam
Submitted via API.","f1df5220-88f1-b889-01e8-b30ea6081b05"
"2018/9/19 下午7:43:50","XBTU18","Trade","Buy","1","6334","-15788","0.000675","10","Limit","1","0","6334","Spam
Submitted via API.","21337d34-4413-c140-4bab-c53cba0e54e1"
"2018/9/19 下午7:07:40","XBTU18","Trade","Sell","1","6348","15753","0.000675","10","Limit","1","0","6348","Spam
Submitted via API.","a4e93bf1-371d-197c-5c6b-557ec6bcdee6"
"2018/9/19 下午7:03:48","XBTU18","Trade","Buy","1","6335","-15785","0.000675","10","Limit","1","0","6335","Spam
Submitted via API.","61e0206e-c6a5-0e9b-802f-ddb688051ca8"
"2018/9/19 下午6:50:30","XBTU18","Trade","Buy","1","6347","-15755","0.000675","10","Limit","1","0","6347","Spam
Submitted via API.","3fb97cc6-0f24-a885-9191-dfc1372ddc3f"
"2018/9/19 下午6:25:31","XBTU18","Trade","Sell","1","6361","15721","0.000675","10","Limit","1","0","6361","Spam
Submitted via API.","105fa773-9519-4395-acd6-b829c624abf0"
"2018/9/19 下午5:56:02","XBTU18","Trade","Buy","1","6347","-15755","0.000675","10","Limit","1","0","6347","Spam
Submitted via API.","3802d261-7a08-669b-bc02-045414454d0d"
"2018/9/19 下午5:48:33","XBTU18","Trade","Sell","1","6360","15723","0.000675","10","Limit","1","0","6360","Spam
Submitted via API.","0d9a9f13-4af4-78cb-6fbd-49ffc8cfb737"
"2018/9/19 下午5:24:54","XBTU18","Trade","Sell","1","6348","15753","0.000675","10","Limit","1","0","6348","Spam
Submitted via API.","cd2687f8-493e-533f-7877-3d359b36be49"
"2018/9/19 下午5:16:09","XBTU18","Trade","Buy","1","6335","-15785","0.000675","10","Limit","1","0","6335","Spam
Submitted via API.","302dbd3c-524a-547c-09b2-b760392d31e1"
"2018/9/19 下午5:15:30","XBTU18","Trade","Buy","1","6348","-15753","0.000675","10","Limit","1","0","6348","Spam
Submitted via API.","43f5bb44-6f25-819a-0d50-ae15589c861b"
"2018/9/19 下午5:11:56","XBTU18","Trade","Buy","1","6361","-15721","0.000675","10","Limit","1","0","6361","Spam
Submitted via API.","b521c133-0633-3428-229f-86daa314a317"
